director_name,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,budget,title_year,movie_facebook_likes
Harold Ramis,11000,816,Comedy,Beverly D'Angelo,National Lampoon's Vacation,3617,15000000,1983,0
Harold Ramis,11000,10000,Comedy,Olivia Wilde,Year One,12258,60000000,2009,0
Harold Ramis,11000,22000,Comedy,Robert De Niro,Analyze That,22889,60000000,2002,846
Harold Ramis,11000,3000,Comedy,Brendan Fraser,Bedazzled,5390,48000000,2000,0
Harold Ramis,11000,13000,Comedy,Bill Murray,Groundhog Day,15500,14600000,1993,38000
Harold Ramis,11000,905,Comedy,John de Lancie,Multiplicity,2348,45000000,1996,0
Harold Ramis,11000,13000,Comedy,Bill Murray,Caddyshack,14921,6000000,1980,0
Woody Allen,11000,11000,Comedy,Woody Allen,Bananas,11700,2000000,1971,0
Woody Allen,11000,11000,Comedy,Woody Allen,Deconstructing Harry,11867,20000000,1997,0
Woody Allen,11000,11000,Comedy,Woody Allen,Everything You Always Wanted to Know,12034,2000000,1972,0
Woody Allen,11000,854,Comedy,Mike Starr,Radio Days,1653,16000000,1987,0
Woody Allen,11000,1000,Comedy,Jim Broadbent,Bullets Over Broadway,4302,20000000,1994,979
Woody Allen,11000,11000,Comedy,Woody Allen,Small Time Crooks,23283,18000000,2000,812
Woody Allen,11000,11000,Comedy,Woody Allen,The Curse of the Jade Scorpion,12534,26000000,2001,826
Woody Allen,11000,537,Comedy,Melanie Griffith,Celebrity,943,12000000,1998,652
Woody Allen,11000,11000,Comedy,Woody Allen,New York Stories,12685,15000000,1989,877
Woody Allen,11000,12000,Comedy,Anthony Hopkins,You Will Meet a Tall Dark Stranger,19310,22000000,2010,0
Woody Allen,11000,1000,Comedy,Natasha Lyonne,Everyone Says I Love You,1614,20000000,1996,0
Woody Allen,11000,11000,Comedy,Woody Allen,Annie Hall,12691,4000000,1977,0
Woody Allen,11000,11000,Comedy,Woody Allen,Anything Else,14843,18000000,2003,827
Woody Allen,11000,11000,Comedy,Woody Allen,Hollywood Ending,12766,16000000,2002,762
Woody Allen,11000,385,Comedy,Ornella Muti,To Rome with Love,1205,17000000,2012,18000
Woody Allen,11000,860,Comedy,Larry David,Whatever Works,2717,15000000,2009,10000
Woody Allen,11000,11000,Comedy,Woody Allen,Sleeper,11192,2000000,1973,0
Woody Allen,11000,594,Drama,Sally Hawkins,Blue Jasmine,1353,18000000,2013,36000
Jon Favreau,4000,21000,Action,Robert Downey Jr.,Iron Man,39252,140000000,2008,10000
Jon Favreau,4000,21000,Action,Robert Downey Jr.,Iron Man 2,48638,200000000,2010,18000
Jon Favreau,4000,17000,Comedy,Kristen Stewart,Zathura: A Space Adventure,32232,65000000,2005,0
Jon Favreau,4000,4000,Comedy,Jon Favreau,Made,5245,5000000,2001,393
Jon Favreau,4000,22000,Comedy,Peter Dinklage,Elf,43354,33000000,2003,21000
Robert Duvall,3000,205,Drama,John Beasley,The Apostle,428,5000000,1997,1000
Seth MacFarlane,3000,14000,Comedy,Liam Neeson,Ted 2,30010,68000000,2015,30000
Seth MacFarlane,3000,15000,Comedy,Mila Kunis,Ted,21773,50000000,2012,74000
Seth MacFarlane,3000,14000,Comedy,Liam Neeson,A Million Ways to Die in the West,28927,40000000,2014,24000
Michael Jai White,2000,2000,Action,Michael Jai White,Never Back Down 2: The Beatdown,3666,3000000,2011,6000
Roman Polanski,2000,917,Drama,John Cassavetes,Rosemary's Baby,2997,2300000,1968,13000
Ron Howard,2000,26000,Action,Chris Hemsworth,In the Heart of the Sea,28328,100000000,2015,27000
Ron Howard,2000,15000,Action,Tom Hanks,Apollo 13,17171,62000000,1995,5000
Ron Howard,2000,1000,Biography,Adam Goldberg,A Beautiful Mind,2827,58000000,2001,29000
Ron Howard,2000,680,Biography,Paddy Considine,Cinderella Man,2523,88000000,2005,0
Ron Howard,2000,11000,Comedy,Matthew McConaughey,Edtv,15275,55000000,1999,641
Ron Howard,2000,17000,Comedy,Channing Tatum,The Dilemma,18510,70000000,2011,0
Ron Howard,2000,1000,Comedy,Clint Howard,How the Grinch Stole Christmas,4146,123000000,2000,0
Ron Howard,2000,15000,Comedy,Tom Hanks,Splash,15361,8000000,1984,0
Ron Howard,2000,2000,Drama,Toby Jones,Frost/Nixon,6161,35000000,2008,0
Adam Goldberg,1000,2000,Drama,Judy Greer,I Love Your Work,2564,1650000,2003,63
Baz Luhrmann,1000,1000,Drama,Jim Broadbent,Moulin Rouge!,2601,52500000,2001,10000
Baz Luhrmann,1000,29000,Drama,Leonardo DiCaprio,Romeo + Juliet,33791,14500000,1996,10000
Bill Duke,1000,849,Drama,Eddie Cibrian,Not Easily Broken,2269,8000000,2009,738
Edgar Wright,1000,10000,Comedy,Anna Kendrick,Scott Pilgrim vs. the World,12687,60000000,2010,36000
Ethan Coen,1000,13000,Action,Matt Damon,True Grit,25964,38000000,2010,36000
Ethan Coen,1000,24000,Comedy,J.K. Simmons,The Ladykillers,41701,35000000,2004,0
Ethan Coen,1000,816,Comedy,Michael Stuhlbarg,A Serious Man,1120,7000000,2009,10000
Ethan Coen,1000,24000,Comedy,J.K. Simmons,Burn After Reading,36093,37000000,2008,0
Ethan Coen,1000,2000,Drama,Kelly Macdonald,No Country for Old Men,4738,25000000,2007,21000
Ethan Coen,1000,3000,Drama,Justin Timberlake,Inside Llewyn Davis,4082,11000000,2013,26000
John Huston,1000,232,Action,Royal Dano,Moby Dick,588,4500000,1956,0
John Huston,1000,862,Drama,Montgomery Clift,The Misfits,1652,4000000,1961,0
Michel Gondry,1000,11000,Comedy,Christoph Waltz,The Green Hornet,13391,120000000,2011,14000
Michel Gondry,1000,989,Comedy,Common,Dave Chappelle's Block Party,2165,3000000,2005,635
Michel Gondry,1000,14000,Drama,Kate Winslet,Eternal Sunshine of the Spotless Mind,19364,20000000,2004,52000
Shane Black,1000,21000,Action,Robert Downey Jr.,Iron Man 3,30426,200000000,2013,95000
Shane Black,1000,21000,Comedy,Robert Downey Jr.,Kiss Kiss Bang Bang,23932,15000000,2005,0
Lena Dunham,969,969,Comedy,Lena Dunham,Tiny Furniture,2530,65000,2010,0
Frank Capra,964,607,Comedy,Claude Rains,Mr. Smith Goes to Washington,1573,1500000,1939,0
Frank Capra,964,931,Comedy,Ann-Margret,Pocketful of Miracles,2167,2900000,1961,612
Frank Capra,964,319,Comedy,Jean Arthur,You Can't Take It with You,1363,1644736,1938,0
Frank Capra,964,380,Comedy,Claudette Colbert,It Happened One Night,540,325000,1934,0
Frank Capra,964,488,Drama,Donna Reed,It's a Wonderful Life,1844,3180000,1946,41000
Tony Goldwyn,956,20000,Comedy,Hugh Jackman,Someone Like You...,20798,23000000,2001,0
Tony Goldwyn,956,10000,Drama,Viggo Mortensen,A Walk on the Moon,10368,14000000,1999,860
Jonathan Frakes,906,1000,Action,LeVar Burton,Star Trek: First Contact,6315,45000000,1996,3000
Jonathan Frakes,906,1000,Action,LeVar Burton,Star Trek: Insurrection,6207,58000000,1998,1000
Jonathan Frakes,906,2000,Comedy,Michael Biehn,Clockstoppers,3917,26000000,2002,874
Matthew Vaughn,905,34000,Action,Jennifer Lawrence,X-Men: First Class,50983,160000000,2011,54000
Uwe Boll,892,783,Action,Meat Loaf,BloodRayne,2930,25000000,2005,937
Irvin Kershner,883,11000,Action,Harrison Ford,Star Wars: Episode V - The Empire Strikes Back,12643,18000000,1980,17000
Milos Forman,869,692,Biography,Jeffrey Jones,Amadeus,3076,18000000,1984,16000
Milos Forman,869,888,Drama,Scatman Crothers,One Flew Over the Cuckoo's Nest,2176,4400000,1975,32000
Antoine Fuqua,847,3000,Drama,Don Cheadle,Brooklyn's Finest,6317,17000000,2009,4000
Antoine Fuqua,845,650,Action,Tate Donovan,Shooter,1640,61000000,2007,0
Antoine Fuqua,845,18000,Action,Denzel Washington,The Equalizer,37605,55000000,2014,56000
Antoine Fuqua,845,978,Action,Mira Sorvino,The Replacement Killers,3072,30000000,1998,629
Antoine Fuqua,845,13000,Action,Bruce Willis,Tears of the Sun,16580,70000000,2003,0
Antoine Fuqua,845,18000,Action,Gerard Butler,Olympus Has Fallen,31782,70000000,2013,45000
Antoine Fuqua,845,18000,Drama,Denzel Washington,Training Day,22370,45000000,2001,0
Antoine Fuqua,845,15000,Drama,Jake Gyllenhaal,Southpaw,16881,30000000,2015,44000
Gus Van Sant,835,13000,Action,Matt Damon,Gerry,13000,3500000,2002,0
Gus Van Sant,835,11000,Biography,James Franco,Milk,13189,20000000,2008,10000
Gus Van Sant,835,1000,Comedy,Kurtwood Smith,To Die For,3598,20000000,1995,1000
Gus Van Sant,835,670,Drama,F. Murray Abraham,Finding Forrester,1801,43000000,2000,0
Gus Van Sant,835,49000,Drama,Robin Williams,Good Will Hunting,63710,10000000,1997,31000
Gus Van Sant,835,18000,Drama,Keanu Reeves,My Own Private Idaho,19923,2500000,1991,0
Gus Van Sant,835,13000,Drama,Matt Damon,Promised Land,14544,15000000,2012,10000
Vincent Gallo,787,1000,Comedy,Anjelica Huston,Buffalo '66,4762,1500000,1998,0
Vincent Gallo,787,787,Drama,Vincent Gallo,The Brown Bunny,883,10000000,2003,952
Joey Lauren Adams,781,596,Drama,Tim Blake Nelson,Come Early Morning,1081,6000000,2006,224
Denis Villeneuve,777,455,Action,Edgar Arreola,Sicario,1467,30000000,2015,59000
Denis Villeneuve,777,20000,Drama,Hugh Jackman,Prisoners,37321,46000000,2013,86000
Roland Emmerich,776,10000,Action,Will Smith,Independence Day,16785,75000000,1996,16000
Roland Emmerich,776,890,Action,Vivica A. Fox,Independence Day: Resurgence,3233,165000000,2016,67000
Roland Emmerich,776,15000,Action,Jake Gyllenhaal,The Day After Tomorrow,20553,125000000,2004,19000
Roland Emmerich,776,13000,Action,Heath Ledger,The Patriot,19454,110000000,2000,4000
Roland Emmerich,776,17000,Action,Channing Tatum,White House Down,18204,150000000,2013,33000
Roland Emmerich,776,25000,Drama,Jeremy Irvine,Stonewall,26176,13500000,2015,0
David Lean,767,597,Drama,Julie Christie,Doctor Zhivago,1966,11000000,1965,7000
Timothy Woodward Jr.,764,835,Action,Katrina Law,Checkmate,2882,1500000,2015,402
Tarsem Singh,763,15000,Action,Henry Cavill,Immortals,16691,75000000,2011,30000
Tarsem Singh,763,16000,Action,Ryan Reynolds,Self/less,17847,26000000,2015,11000
Tarsem Singh,763,8000,Comedy,Julia Roberts,Mirror Mirror,11454,85000000,2012,18000
Lawrence Kasdan,759,826,Action,Scott Glenn,Silverado,1154,26000000,1985,0
Lawrence Kasdan,759,2000,Action,Dennis Quaid,Wyatt Earp,5708,63000000,1994,0
Lawrence Kasdan,759,11000,Comedy,Zooey Deschanel,Mumford,17873,28000000,1999,209
Lawrence Kasdan,759,11000,Drama,Morgan Freeman,Dreamcatcher,12194,68000000,2003,4000
George Miller,750,49000,Animation,Robin Williams,Happy Feet,70996,100000000,2006,0
Albert Brooks,745,12000,Comedy,Jeff Bridges,The Muse,15209,15000000,1999,251
David O. Russell,737,23000,Biography,Christian Bale,The Fighter,23811,25000000,2010,36000
David O. Russell,737,2000,Comedy,Judy Greer,Three Kings,3743,48000000,1999,3000
David O. Russell,737,34000,Comedy,Jennifer Lawrence,Joy,75793,60000000,2015,24000
David O. Russell,737,718,Comedy,Lily Tomlin,Flirting with Disaster,2240,7000000,1996,824
David O. Russell,737,6000,Comedy,Naomi Watts,I Heart Huckabees,8094,22000000,2004,0
David O. Russell,737,34000,Comedy,Jennifer Lawrence,Silver Linings Playbook,72115,21000000,2012,117000
David O. Russell,737,15000,Comedy,Jake Gyllenhaal,Accidental Love,19068,26000000,2015,0
David O. Russell,737,34000,Drama,Jennifer Lawrence,American Hustle,83012,40000000,2013,63000
Alexander Payne,729,1000,Comedy,Devin Ratray,Nebraska,3798,12000000,2013,28000
Alexander Payne,729,912,Comedy,Virginia Madsen,Sideways,2170,12000000,2004,0
Alexander Payne,729,442,Comedy,Hope Davis,About Schmidt,1556,30000000,2002,0
Alexander Payne,729,2000,Comedy,Matthew Broderick,Election,3516,8000000,1999,0
Alexander Payne,729,8000,Comedy,Shailene Woodley,The Descendants,9578,20000000,2011,22000
Paul Verhoeven,719,833,Action,Greg Grunberg,Hollow Man,2356,95000000,2000,0
Paul Verhoeven,719,605,Action,Ronny Cox,Total Recall,1441,65000000,1990,0
Paul Verhoeven,719,605,Action,Ronny Cox,Total Recall,1441,65000000,1990,0
Paul Verhoeven,719,660,Action,Jake Busey,Starship Troopers,2031,105000000,1997,0
Janusz Kaminski,710,497,Drama,Philip Baker Hall,Lost Souls,1805,28000000,2000,209
Ryan Murphy,708,433,Comedy,Jill Clayburgh,Running with Scissors,1291,12000000,2006,0
Ryan Murphy,708,11000,Drama,James Franco,Eat Pray Love,20440,60000000,2010,26000
Jason Alexander,700,599,Comedy,Gretchen Mol,Just Looking,1030,3000000,1999,117
Blake Edwards,688,638,Comedy,Rock Hudson,Darling Lili,788,25000000,1970,104
David S. Goyer,687,16000,Action,Ryan Reynolds,Blade: Trinity,19764,65000000,2004,0
David S. Goyer,687,10000,Drama,Gary Oldman,The Unborn,12183,16000000,2009,0
David S. Goyer,687,10000,Drama,Gary Oldman,The Unborn,12183,16000000,2009,0
Justin Lin,681,998,Action,Sofia Boutella,Star Trek Beyond,1327,185000000,2016,30000
Justin Lin,681,23000,Action,Paul Walker,Fast Five,55345,125000000,2011,54000
Justin Lin,681,584,Action,Amber Stevens West,The Fast and the Furious: Tokyo Drift,1235,85000000,2006,0
Justin Lin,681,239,Comedy,Monique Gabriela Curnen,Finishing the Game: The Search for a New Bruce Lee,734,500000,2007,155
Justin Lin,681,94,Drama,Parry Shen,Better Luck Tomorrow,139,250000,2002,661
Roger Avary,675,16000,Comedy,Ian Somerhalder,The Rules of Attraction,19928,4000000,2002,0
John Ford,673,756,Comedy,Lee Marvin,Donovan's Reef,1949,2686585,1963,573
John Ford,673,595,Drama,Roddy McDowall,How Green Was My Valley,1129,1250000,1941,0
John Ford,673,756,Drama,Lee Marvin,The Man Who Shot Liberty Valance,2693,3200000,1962,0
Tom Tykwer,670,6000,Action,Naomi Watts,The International,7654,50000000,2009,0
Nate Parker,664,990,Biography,Jason Stuart,The Birth of a Nation,3525,10000000,2016,0
Brad Bird,663,2000,Action,Judy Greer,Tomorrowland,5046,190000000,2015,37000
Brad Bird,663,10000,Action,Tom Cruise,Mission: Impossible - Ghost Protocol,21768,145000000,2011,35000
Brad Bird,663,14000,Animation,Vin Diesel,The Iron Giant,16358,70000000,1999,0
Brad Bird,663,1000,Animation,Holly Hunter,The Incredibles,1901,92000000,2004,0
Brad Bird,663,1000,Animation,Janeane Garofalo,Ratatouille,4764,150000000,2007,10000
Neill Blomkamp,662,20000,Action,Hugh Jackman,Chappie,23051,49000000,2015,67000
Neill Blomkamp,662,13000,Action,Matt Damon,Elysium,17689,115000000,2013,61000
Jason Reitman,655,24000,Comedy,J.K. Simmons,Thank You for Smoking,25092,6500000,2005,0
Jason Reitman,655,9000,Comedy,Charlize Theron,Young Adult,10575,12000000,2011,0
Jason Reitman,655,24000,Comedy,J.K. Simmons,Juno,28817,7500000,2007,10000
Jason Reitman,655,24000,Comedy,J.K. Simmons,Juno,28817,7500000,2007,10000
Jason Reitman,655,24000,Drama,J.K. Simmons,Labor Day,39307,18000000,2013,0
Jason Reitman,655,24000,Drama,J.K. Simmons,Up in the Air,35209,25000000,2009,19000
Todd Graff,650,690,Comedy,Scott Porter,Bandslam,1573,20000000,2009,1000
Todd Graff,650,1000,Comedy,Dolly Parton,Joyful Noise,3389,25000000,2012,0
John Landis,644,1000,Comedy,John Belushi,The Blues Brothers,2566,27000000,1980,14000
John Landis,644,437,Comedy,Louis Lombardi,Beverly Hills Cop III,1093,55000000,1994,669
